Handle;Title;Description;Created;Updated;Vendor;Product Type;Tags;Max price;Min price;Variant 1;Variant 1 price;Variant 1 price to compare;Variant 1 Featured Image URL;Variant 2;Variant 2 price;Variant 2 price to compare;Variant 2 Featured Image URL;Variant 3;Variant 3 price;Variant 3 price to compare;Variant 3 Featured Image URL;Variant 4;Variant 4 price;Variant 4 price to compare;Variant 4 Featured Image URL;Variant 5;Variant 5 price;Variant 5 price to compare;Variant 5 Featured Image URL;Image 1 URL;Image 2 URL;Image 3 URL;Image 4 URL;Image 5 URL;Image 6 URL;Image 7 URL;Image 8 URL;Image 9 URL;Image 10 URL;Option 1;Option 2;Option 3
copy-of-marshall-uxbridge-home-voice-speaker-with-amazon-google-built-in;Marshall Uxbridge Home Voice Speaker with Google Assistant Built-In;"




Connectivity Technology
Bluetooth, Wi-Fi


Speaker Type
Multi-Room


Brand
Marshall


Model Name
Uxbridge


Recommended Uses For Product
Music








About this item

Loud just got smaller. Uxbridge Voice is engineered to create a thunderous sound from itscompact frame. An advanced setup with high-end components come together to produce screaming highs and hard hitting lows for a brilliantly balanced sound only Marshall can deliver
Consider this speaker your backstage pass to every song on the planet. Access to the world’s music has never been easier, just ask Google to play music from the most popular streaming services and you’re ready to listen. You can connect with Wi-Fi, Airplay 2, Spotify Connect or Bluetooth
Fill your home with immersive sound by building a multi-room system with Amazon Echo andother supported Google built-in speakers or Airplay 2 enabled speakers. Wirelessly play different songs in each room or bring it all together and play the same song throughout the entire home. Simply start with one speaker and build your system over time
You can play music, get answers, manage everyday tasks and easily control smart devices around your home – just by using your voice. Google can help you listen to your favorite song, turn up the volume, find a recipe for dinner or check your commute to work. You can even dim the lights, ask for the latest news or check what’s on TV all with a single voice command. Just ask
Fine-tune your music to meet your requirements. You can use the rocker buttons on your speaker’s top panel to perfect your sound according to the room you’re in. Simply adjust the volume, treble and bass with the brass buttons
Included Components: Voice Speaker, Mains Lead, Quick Start Guide, Legal And Safety Information
Power Source Type: Corded Electric


";2022/07/19;2022/12/19;Marshall;Wifi Smart Hub;"Bluetooth
Google
Google Home
Google Home Mini
Google Nest
Marshall
Smart Home
Speaker
Voice Smart Controllers
Wifi
Works with Google Home  Works with Alexa  Wifi  Smart Light Switch  Smart Home  Ewelink";4399;4399;Black;4399;5499;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Marshall_f93a2186-3b11-4c4f-959e-1a26c6f9e26e.png?v=1658248178;;;;;;;;;;Colour (Black);;
sonoff-smate;SONOFF SMATE;"















";2022/02/01;2022/09/27;Sonoff;Smart Switch;"Ewelink
relay
Smart Home
Smart Switch
Sonoff
Sonoff RF
Wifi
Works with Alexa
Works with Google Home";177;177;Default Title;177;225;;;;;;;;;;;;;;;;;;;;;;;;;;;;Title (Default Title);;
shelly-1pm-plus;SHELLY 1PM Plus;"Overview:
From automatization of the lights to electrical appliances control, Shelly Plus 1PM provides precise power metering and free cloud data storage. Small enough to fit behind every wall switch or wall socket, Shelly Plus 1PM is retrofit and can be installed in less than 10 minutes.
Features:
• HTTP/HTTPS webhooks: Yes• Custom scripts(mJs): Yes• Channels: 1 Channel• Maximum load: 16A• Operational temperature: 0°C to + 40 °C• Device power consumption: < 1 W• Intelligent On/Off: Yes• Local and remote control: Yes• Sunrise/Sunset: Yes• Weekly schedule: Yes• UL Listed option: No
Specification:
Power:
• Power supply AC: 110-230V ±10%, 50/60Hz• Power supply DC: 24 – 30V
Special Functions:
• Dry contacts: No• Roller shutter mode: No• Device temperature protection: Yes• Overload protection: Yes• Power measurement: Yes• Working without a neutral line: No
Connectivity:
• Wireless: Yes• Wireless/Wi-Fi protocol: 802.11 b/g/n• Wi-Fi Radio Frequency: 2412 – 2484 MHz• Wi-Fi Radio signal power: 1mW• Wi-Fi Range: Up to 50m outdoors; Up to 30m indoors (Depending on the building materials)• Bluetooth: Yes
Dimensions:
• Size: 41mm x 36mm x 16mm
Package includes:
• 1 x Shelly Plus 1PM
 









";2022/06/22;2022/12/19;Shelly;Smart Switch;"16A
Power Measurement
Power Monitoring
Shelly
Smart Home
Wifi
Works with Alexa
Works with Google Home";450;450;Default Title;450;499;;;;;;;;;;;;;;;;;;;;;;;;;;;;Title (Default Title);;
case-for-sv-inching-5v-24v-4-gang-relays;Case for SV Inching 5V-24V 4-gang relays;"5V-32V relays are shipped without an external case because the main purpose of them is being integrated into another electronic device such as a gate opener.
But when used as a standalone relay, this protective case is a useful extension to the relay. Both 5V-32V Wi-Fi, WiFi+RF versions of the relay are compatible with this box.
Note: DC4 4-gang relay's switch button on the relay board is short, so you will need a pin to push them for a manual on/off switch or pairing mode. 
The back side of this case is DIN-rail compatible, you may use it to put the smart relay into an electric cabinet.";2022/06/22;2022/11/02;Ewelink;Accessory;"Accessory
Case
dc4
SV Inching";39;39;Default Title;39;39;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/SV4GCase.png?v=1655890536;;;;;;;;;;Title (Default Title);;
case-for-sv-inching-5v-24v-1-gang-relays;Case for SV Inching 5V-24V 1-gang relays;"5V-24V relays are shipped without an external case because the main purpose of them is being integrated into another electronic device such as a gate opener.
But when used as a standalone relay, this protective case is a useful extension to the relay. Both 5V-24 WiFi, WiFi+RF and Zigbee+RF versions of the relay are compatible with this box.
Note: 1-gang relay's switch button on the relay board is short, so you will need a pin to push them for a manual on/off switch or pairing mode. 
";2022/06/22;2022/12/19;Ewelink;Accessory;"Accessory
Case
SV Inching";29;29;Default Title;29;29;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/SV1GCase.png?v=1655890256;;;;;;;;;;Title (Default Title);;
smart-life-zigbee-3-0-water-leak-sensor-flooding-detector;Smart Life Zigbee 3.0 Water Leak Sensor Flooding Detector;"
Product Description




Features



[ Water Leakage Sensor ]- With the sensitive sensing probes for protecting your home and valuables from annoying leaks and dangerous floods,whether it's a dripping sink under the bathroom cabinet, a burst pipe in the basement, or a severe weather event. [ Tuya App control ]- From the app (Tuya) you will receive instant push notification of water leakage and it will push alarm to your smart phone when detecting water leakage,helping to keep your home safe,by alerting you to potential water leak before the issue becomes too serious,thus helping to prevent costly water damage. [ Battery powered with low energy consumption ]- The sensor requires little effort to install and it is very easy to use,you are certain to get the quality and expectation that you desire. [ Plug&Play ]- reliable performance,small and compact appearance. 
1. Beautiful and stylish appearance, easy to integrate into various environments 2. Support DIY design, rich scenes, 3. Intelligent linkage, tool-free installation 4. Demolition design in the field of professional security 5. With low Low battery reminder function 6. Ultra low power consumption and long battery life 7. Timing to send online reports to the host









Specifications


Material: ABS Size: 54*26.5*13mm (Sensor) Battery: CR2032 (Not included) Battery Life: over 1 year (20 times per day) Zigbee Frequency: IEEE 802.15.4 Working Temperature: 0?~ 55? Wire Length: 1m (Probe Cable)








Notice:


1. First, you need to connect to the ZIGBEE gateway to be able to remotely control via 3G/4G/WiFi on your mobile phone





























";2022/02/28;2022/12/19;Smart Life;Water Leak Sensor;"Ewelink
Sensor
Smart Home
Smart Switch
Smart Water Leak Sensor
SmartLife
Tuya Smart Life
Works with Alexa
Works with Google Home
Zigbee";359;359;Default Title;359;359;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ZigbeeWaterLeakDetector.png?v=1649231961;;;;;;;;;;Title (Default Title);;
zigbee-sos-sensor;Zigbee Digital Temperature and humidity sensor;"Zigbee Temperature and humidity Sensor compatible with Sonoff Zigbee Bridge
Working temperature: -20-60""CEmission frequency: 100dBmQuiescent current : 2~3uAWireless frequency : Zigbee 2.4GHzBattery : CR2032Working humidity: =95%RH ( non-condensing )Emission Current : peak value45mA.average1-2mAEmission distance: 100m+(Open space)
 ";2020/07/15;2022/12/19;Ewelink;Sensor;"Ewelink
Humidity Sensor
Sensor
Smart Button
Smart Home
Sonoff
SOS
Wifi
Works with Alexa
Works with Google Home
Zigbee";499;499;Default Title;499;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ZigTemp1.png?v=1597859164;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ZTemp1_9d4ebf62-0628-4d6f-9be8-1545528432c9.jpg?v=1597859164;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/H0e4e796491344e02889b7941fe9c9356Y.jpg?v=1597859164;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Ha3fd72c5205a46afbeb63283f3772feeW.jpg?v=1597859164;;;;;;;Title (Default Title);;
bneta-smart-body-scale;BNETA Smart Body Scale;"
Bluetooth Body Composition Analyzer
Record and manage 13 different body composition
Bluetooth 4.0 support
Free Feelfit App for iOS and Android
Dual frequency BIA technology
Unlimited User registration and Automatic user detection
Target and Calorie coaching program
Easy to compare different day/time's data
Easy data sharing to Social Media(Facebook,Twitter,Instagram, Whatsapp)
";2022/06/08;2022/12/05;BNETA;;"Accessory
Bluetooth
BNETA
Ezviz
Scale";499;499;Default Title;499;699;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/scale.png?v=1654683145;;;;;;;;;;Title (Default Title);;
homekit-box-lite;Homekit Box-Lite;"**Please note if you add on IP or RTSP Camera feeds this will slow down the HomeKit Bridge Lite. if you wish to bring in IP/RTSP cameras please look at HomeKit Bridge** 
HomeBridge is a lightweight NodeJS server you can run on your home network that emulates the iOS HomeKit API. It supports Plugins, which are community-contributed modules that provide a basic bridge from HomeKit to various 3rd-party APIs provided by manufacturers of ""smart home"" devices.
This is a complete unit that allows you to bring items from Ewelink, Smart Life, Tuya and other popular smart home apps into Apple HomeKit. Take control through one app and set times and control your home fully. The unit connects to your home network via Wi-fi and then you can log into the device and load some details and this will then bring through your devices from Ewelink, Smart Life, Tuya into HomeKit.
There is a simple website to log into to make changes and log into the plugin and add in additional Plugins if needed. From time to time the plugins do require an update and this can all be managed from the simple website
You can even use Siri to do the commands through your apple watch, iPhone, iPad, HomePod or Siri remote.
Add on devices sold through SystemGo for items like taking control of your Electric Gate or Garage Motor and Siri can action all while you are driving to your property. All items sold on System Go like Sonoff, Tuya/SmartLife, Eachen, Shelly, Broadlink all will work in HomeKit.
The only requirement for all to operate is a HomePod, Apple TV 4th Gen and above or iPad. This is the hub/gateway for all to operate your home when you not home.";2022/06/07;2022/09/28;Eiferer_ZA;;"Apple Home Bridge
apple homekit
Raspberry Pi
Wifi
Works with Alexa
Works with Google Home";1899;1899;Default Title;1899;1999;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Untitled-1_png.jpg?v=1654592866;;;;;;;;;;Title (Default Title);;
sonoff-slampher-2-remote-sold-separately;Sonoff Slampher 2 (Remote Sold Separately);"


Slampher (Remote Sold Separately)


Specification
Power Supply: 90V~250V AC
Max. Current: 2A
Wireless Standard: Wi-Fi 2.4GHz b/g/n & 433MHz
Security Mechanism: WEP/WPA-PSK/WPA2-PSK
Operating Temp.: 0?~40?
Operating Humidity: ?80%
Material: FR-ABS
Connector: universal
";2019/12/09;2022/09/27;Sonoff;Smart Light Switch;"Ewelink
RF433
Smart Home
Smart Lighting
Sonoff
Sonoff Slampher
Wifi
Works with Alexa
Works with Google Home";289;289;Default Title;289;289;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Valve_25451ab3-d7a8-4d9b-a9eb-abd4ae68a7a6.png?v=1579450657;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Slam_2_dcd84149-e401-4c17-b272-c77eabfc16e6.jpg?v=1579450661;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Slam_3_5c499d27-e211-4d8c-8c11-2d4a450a43e0.jpg?v=1579450661;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Slam_4_08c40317-5e7e-4ecb-8dfc-5971e01f1f9d.jpg?v=1579450661;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Slam_5_4127e2dd-f483-4c24-b545-5b25bd54e681.jpg?v=1579450661;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Slam_6_7dcf60f7-c7ce-4d95-bb41-0869697f36f0.jpg?v=1579450661;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Slam_7_53f67383-cfb4-4772-a478-34f3c68c8d25.jpg?v=1579450661;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Slam_8_6fe49cc2-8da2-430f-a1ff-9cc70962dbe6.jpg?v=1579450661;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Slam_9_ac0de235-860e-404f-bc0b-2b9c0745b5be.jpg?v=1579450661;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/portalamparas_inteligente_sonoff_slapher_r2_wifi_rf_433_mhz_03_ad_l.jpg?v=1583138087;Title (Default Title);;
sonoff-zb-bridge-p;Sonoff ZB Bridge-P;"?Supports adding up to 128 sub-devices?Zigbee Bridge Pro supports adding sub-devices increased from 32 to 128. ?Smart Home Security?Set up home security modes, such as home mode, away mode, and sleep mode. The bridge can be used as a local alarm. ?Local Smart Scene?Timing and scene linkage between Zigbee devices can be executed normally even if the network is disconnected. ?Wi-Fi & Zigbee Dual-protocol Support?Make communication between Zigbee devices and WiFi devices. ?Strong Connectivity, Limitless Possibility ?The Bridge supports to add ZigBee devices that SONOFF has released, like ZBMINI-L smart switch and S26R2ZB smart plug, making your home smarter.
















";2022/05/23;2022/12/19;Sonoff;Smart Bridge;"Ewelink
Sensor
Smart Bridge
Smart Home
Sonoff
Wifi
Works with Alexa
Works with Google Home
Zigbee";599;599;Default Title;599;729;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/zbridsge.png?v=1653629353;;;;;;;;;;Title (Default Title);;
sonoff-minir3;SONOFF MINIR3;"?Max. 16A Load Current?The maximum load current of MINI R3 can be up to 16A that making it a powerful solution to smarten your appliances.?Open Device REST API?Connect and control the MINI R3 with your existing home automation system like Home Assistant via LAN.?”eWeLink-Remote” Control?MINI R3 is a smart switch with the gateway function of “eWeLink-Remote“. If you want to use the “eWeLink-Remote” control function, you need to use it with the S-MATE or scene switch R5(coming soon).?No Neutral Wire Required Solution?If your switch box does not have a neutral wire, a collocation of MINI R3 and S-MATE can be installed and used.?Safe And Reliable?TÜV, CE, and FCC certifications ensure a safer and more reliable product.
















";2022/02/01;2022/12/19;Sonoff;Smart Switch;"Ewelink
relay
Smart Home
Smart Switch
Sonoff
Sonoff RF
Wifi
Works with Alexa
Works with Google Home";285;285;Default Title;285;349;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Dualr3Lite_0e55cba7-3e75-4c82-8367-d528ddc9b838.png?v=1654079161;;;;;;;;;;Title (Default Title);;
sonoff-r5-remote;SONOFF R5 Remote;"?Scene Control?All SONOFF devices can be controlled by setting the smart scenes when the internet connection is available.?eWeLink-Remote Control?Control the device which has the eWeLink-Remote gateway feature even offline, 90M remote control without Network.?Multi Trigger Ways?Trigger the smart scene by clicking, double click, or long-press. Up to 18 trigger actions to set different scenes.?Two-way or Multi-way Control?Simple way to achieve two-way or multi-way control by eWeLink-Remote with M5 smart wall switch.?Free-wiring Stick-on?Pasted with 3M adhesive or easily use by Magnetic attraction.
Note : SONOFF M5 smart switch is an eWeLink-Remote gateway, which can be used with R5 remote controller to realize two-way or multi-ways control without wiring even M5/S40/S40 LITE is offline.












 












 ";2022/05/23;2022/12/19;Sonoff;Smart Switch;"Ewelink
Remote
Smart Home
Smart Switch
Sonoff
Works with Alexa
Works with Google Home";259;259;Default Title;259;299;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/r5.png?v=1653296830;;;;;;;;;;Title (Default Title);;
sonoff-zbmini-l;SONOFF ZBMINI-L;"













";2022/05/17;2022/12/19;Sonoff;Smart Switch;"Black Friday
Ewelink
no neutral
relay
Smart Home
Smart Switch
Sonoff
Sonoff RF
Wifi
Works with Alexa
Works with Google Home";259;259;Default Title;259;349;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/MiniR3L.png?v=1652782668;;;;;;;;;;Title (Default Title);;
sonoff-dualr3-lite;Sonoff DUALR3 Lite;"?Roller Shades Motor Control?Let your electric curtains, roller blinds, etc become smart immediately.?External Switch Two-Way Control?DUALR3 has 6 types of external switch detection mechanisms, making it suitable for most physical switch control.?Power Metering?The 2-Gang detects voltage, current, and power values and counts the power consumption for you independently to allow for reasonable energy consumption control.Not available for DUALR3 Lite.?With The Most Features?DUALR3 has three working modes that meet the needs of different application scenarios. Remote, timing, voice control, smart scenes, and other functions are all available.?Safe And Reliable?TUV, CE, FCC, and RoHS certifications ensure a safer and more reliable product.


















";2022/05/17;2022/12/19;Sonoff;Smart Switch;"Ewelink
relay
Smart Home
Smart Switch
Sonoff
Sonoff Dual
Wifi
Works with Alexa
Works with Google Home";299;299;Default Title;299;339;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Dualr3Lite.png?v=1654078836;;;;;;;;;;Title (Default Title);;
led-strip-connector-10mm-4pin;LED Strip connector 10mm 4Pin;;2022/05/17;2022/12/19;E7Win;LED Accessories;"Accessory
LED
Wire";10,8;10,8;Strip-Wire;10,8;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ST-W.png?v=1652781516;Strip-Strip;10,8;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ST-ST.png?v=1652781516;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ST-W.png?v=1652781516;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ST-ST.png?v=1652781516;;;;;;;;;Strip-Strip (Strip-Wire, Strip-Strip);;
sandisk-micro-sdhc-extreme-32gb-100mb-s-card;Sandisk Micro SDHC Extreme 32GB (100mb/s) Card;;2022/04/26;2022/12/19;Eiferer_ZA;;;249;249;Default Title;249;329;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/7d925d36-a2a8-4ca3-9234-01d2195a66bf.png?v=1656315250;;;;;;;;;;Title (Default Title);;
tuya-control-multifrequency-garage-door-opener;Tuya Control Multifrequency Garage Door Opener;"There are 3 ways to works with your garage door opener:
The 1st one: Connect the device to the motor.


The 2nd one: Connect the device to the remote controller:

The 3rd one: Connect the device to the wall console.

If your garage door opener is on the compatible list below, you can connect the device to the opener, if not on this list, you can do this to test if GD-DC5 will work with your garage door opener:Take a wire with both ends stripped or a straightened-out paper clip and put each end to the same terminals as the wall button wires are terminated to. By doing so, if your door activates, then your garage door opener is compatible with EACHEN GD-DC5 by default. If the door does not activate, then the opener is not compatible by default, then you can try to connect the device to the remote controller or the wall console.
EACHEN smart garage door system is compatible with most garage doors that have an opener motor. The installation is a 20-minute thing, after that, you can use your smartphone to open and close your garage door from anywhere.
This product is a WiFi smart switch supports control your garage door opener and monitor the door status at any time. You can add the device to the “Tuya Smart” APP or “Smart Lif” APP in order to remotely control your garage door.
The device enables remote control of your garage door opener through the mobile application “Tuya Smart” or “Smart Life”, available on both Android and iOS.
Supported functions include:

Remote turn on/off
Timing Schedules
Device Sharing
History Record
Compatible with Amazon Echo, Echo Dot, Amazon Tap
Works with Google Home, Google Nest
Works with IFTTT

This product is compatible with Amazon Alexa. You can ask Alexa to control the device with the following voice commands.Try out these phrases ( {deviceName} should be the name of your device):“Alexa, turn on {deviceName}”“Alexa, turn off {deviceName}”
Also you can ask Google Home to control the device with the following voice commands.“hey, google, turn on {deviceName}”“OK, google, turn off {deviceName}”
Works with IFTTT:Search “Tuya Smart” or “Smart Life” in the IFTTT APP. Your can create applets like belows:

If my localtion is 200 meters far away form home, Then turn off the garage door.
If the device is turned on/off, then send me a email/call me.

Sharing the device to other users:
you can share it to your family and friends or visitors, OF COURSE, you can take back the permissions at any time.
Easy Installation:

Power up the device with DC 5V adapter and micro USB cable.
Connect the Red & Black wires to your garage door opener: Put each end to the same terminals as the wall button wires are terminated to.
Connect the sensor and install steady on the garage door with screws/3M gums/braket and so on.
Control the device on your smart phone.

 
 ";2019/06/03;2022/10/14;EACHEN;Garage Opener;"Sensor
Smart Garage Controller
Smart Garage opener
Smart Home
Smart Switch
Wifi
Works with Alexa
Works with Google Home";599;599;Default Title;599;899;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/TuyaGarage.png?v=1598290573;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/TuyaGarage2.png?v=1598290757;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/TuyaGarage3.png?v=1598290757;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/TuyaGarage4.png?v=1598290757;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/TuyaGarage5.png?v=1598290757;;;;;;Title (Default Title);;
sonoff-m5-us-wifi-wall-switches;SONOFF M5 US WiFi Wall Switches;"

















";2022/04/12;2022/12/19;Sonoff;Smart Light Switch;"Ewelink
RF433
Smart Home
Smart Light Switch
Smart Lighting
Sonoff
Wifi
Works with Alexa
Works with Google Home";459;415;1 Gang;419;419;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/m51c.png?v=1649793061;2 Gang;415;415;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/m52c.png?v=1649793061;3 Gang;459;459;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/m53c.png?v=1649793061;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/m53c.png?v=1649793061;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/m51c.png?v=1649793061;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/m52c.png?v=1649793061;;;;;;;;Gang (1 Gang, 2 Gang, 3 Gang);;
raspberry-pi-4b-with-box-black-with-fan;Raspberry Pi 4B 4G  with box Black with fan;1x Pi 4B 4G1 x box Black with fan;2022/03/18;2022/11/12;RASPBERRY;CPU;"Electronics DIY
Raspberry Pi
Smart Home
Wifi
Works with Alexa
Works with Google Home";4899;4899;Default Title;4899;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Pi4.png?v=1647631731;;;;;;;;;;Title (Default Title);;
tuya-smartlife-wifi-smart-switch-relay-20a;Tuya\SmartLife Wifi Smart Switch Relay 20A;Wifi Smart Switch Relay 20A Tuya Smart Life App Wireless Remote Control Works with Alexa Ifttt Google Home Mini;2022/03/18;2022/12/19;EACHEN;Smart Switch;"20A
Relay
Smart Switch
SmartLife
Works with Alexa
Works with Google Home";179;179;Default Title;179;299;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/tuya20amp.png?v=1647592047;;;;;;;;;;Title (Default Title);;
eachen-water-leak-sensor-433mhz-rf-wt;EACHEN Water Leak Sensor 433MHz RF-WT;" 
Battery: 12V23A*1Standby: 2 yearsGross Weight: 50g(Battery included)Radio frequency? 433MHzWork with Sonoff/EACHEN RF Bridge
 ";2019/08/19;2022/12/19;EACHEN;Sensor;"RF433
Sensor
Smart Home";149;149;Default Title;149;149;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Valve_69342870-a330-40d3-88f8-543f132676a6.png?v=1579452777;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/WL-1.jpg?v=1579452781;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/WL-2.jpg?v=1579452781;;;;;;;;Title (Default Title);;
sonoff-s-mate;SONOFF S-Mate;"















";2022/03/15;2022/12/17;Sonoff;Smart Switch;"Ewelink
relay
Remote
Smart Home
Smart Switch
Sonoff
Sonoff RF
Works with Alexa
Works with Google Home";199;199;Default Title;199;249;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/smate.png?v=1647356871;;;;;;;;;;Title (Default Title);;
zigbee-s26-r2-wifi-smart-plug-de;Zigbee S26 R2 WiFi Smart Plug – DE;"

Overview
?Remote Control?Turn on/off the electrical devices from anywhere, and check the status of your devices on phone anytime.?Timing?Set scheduled/countdown/loop timers to turn on/off your devices at a specified  time.?Share Control?Share the device with your family, let them control it together.?Smart Scene?Work with other smart devices, like triggered on/off by temp., make your life smarter.?Compatibility?Works perfectly with Alexa, Google Assistant, IFTTT.










";2022/03/15;2022/12/19;Sonoff;Smart Plug;"Ewelink
S26
Smart Home
Smart Switch
Sonoff
Works with Alexa
Works with Google Home
zigbee";249;249;DE;249;349;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/zs26de_bcaa7cb5-2620-4842-a059-0fe6c9d713da.png?v=1647356286;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/zs26de.png?v=1647356284;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/zs26de_bcaa7cb5-2620-4842-a059-0fe6c9d713da.png?v=1647356286;;;;;;;;;Type (DE);;
dyp-a02-waterproof-distance-plastic-housing-water-current-proximity;Dyp A02 Waterproof Distance Plastic Housing Water Current Proximity;"

 



Specification




Model
 
A02


Product Name
 
Split waterproof ultrasonic ranger


Highlight
 
Wide voltage power input supported.Multiple output modesWaterproof sensorStrong anti-interference, anti-static abilitiesData output stable and reliableTiny size, easy to installLong measurement range, high accuracyAutomatic output mode, not occupy hardware resourcesControlled output mode, low power consumption


Operating Voltage
 
DC 3.3-5 v


Operating Current
 
<8 mA


Standby Current
 
<5 uA


Peak Current
 
<40 mA


Blind Area Distance
 
3 cm


Measuring Range
 
3-450 cm


Accuracy
 
10 mm


Working Period
 
UART 100ms / Switch 100ms


Output Method
 
PWM pulse/UART controlled/UART automatic/Switch


Frequency
 
40 KHz


Temperature Compensation
 
Yes (PWM no compensation)






Application







Liquid Level Measurement in Small Bottles
Loop control
Diameter Sensing and Strip Speed Control





Contour Recognition
Quality Control
Vehicle Sensing and Positioning





Wire or Rope Breakage Monitoring
Stack height sensing
Bottle Counting





Breakage Sensing
People Sensing, Human body Height measurement
Liquid Level Measurement in Large Vessels(Tanks, Silos)





Flat Object sensing or detection
Anti-Collision, Proximity Alarm
Height Sensing






Certificates

 



FAQ

1. Are you a manufacturer or trading company? 
DYP is a manufacturer, our factory approved by ISO9001:2008, ISO14001:2004 standard. 
 
2. Does your products can be ODM or OEM? 
Yes, we provide ODM/OEM services, we can customize the product according to your requirement, after estimated by our R&D team, We can build the product you need on the basis of existing products, or build a brand new product. 
 
3. What's warranty of your product? 
We provide 1 year warranty, any defective items, please send back to us, we will repair/replace for you. 
 
4. What is the terms of payment? 
for the sample order, we suggest place order on alibaba directly. for the large order, we accept TT or LC. 
 
5. Do you provide technical support? 
Yes, we have our own R&D department, we can provide you technical support at any time. you can call us or write email to us. 
 
6. How to choose the right ultrasonic sensor? 
First of all, clarify the installation conditions:
   a. Medium to be measured;
   b. Installation location; 
   c. Measurement range;
   d. Measurement accuracy;
   e. Sensor resolution;
   f. potential interference;
   g. Whether vessels has pressure.

";2022/02/27;2022/12/10;E7WIN;Electronics;"Development
Electronics DIY
Sonar";449;449;Default Title;449;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/US.jpg?v=1645990363;;;;;;;;;;Title (Default Title);;
